nama_tpu,wilayah,kecamatan,kelurahan,alamat,luas,unit_agama,jumlah_terisi,lat,lon,confidence,nominatim_match_type
TPU SEMPER,KOTA ADM. JAKARTA UTARA,CILINCING,SEMPER TIMUR,"Jl. Cakung Cilincing Raya, RT.11/RW.6, Semper Tim., Kec. Cilincing, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14130",575660,ISLAM/ KRISTEN/ HINDU/ BHUDA,131072,,,FAILED,
TPU JEMBATAN SAMPI,KOTA ADM. JAKARTA UTARA,CILINCING,CILINCING,"Jl. Cilincing Bakti No.IV, RT.6/RW.6, Cilincing, Kec. Cilincing, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14120",7625,ISLAM,2981,,,FAILED,
TPU MALAKA I,KOTA ADM. JAKARTA UTARA,CILINCING,ROROTAN,"Jl. H. Bandan Kel Rotan, RT.14/RW.6, Rorotan, Kec. Cilincing, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14140",9737,ISLAM,2994,,,FAILED,
TPU MALAKA IV,KOTA ADM. JAKARTA UTARA,CILINCING,ROROTAN,"Jl. Rorotan-Marunda 27-3, RT.9/RW.5, Rorotan, Kec. Cilincing, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14140",4000,ISLAM,1318,,,FAILED,
TPU KAMPUNG MANGGA,KOTA ADM. JAKARTA UTARA,KOJA,TUGU UTARA,"Gg. H. Syariyah No.55, Tugu Utara, Kec. Koja, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14260",4900,ISLAM,4546,,,FAILED,
TPU SUNGAI BAMBU,KOTA ADM. JAKARTA UTARA,TANJUNG PRIOK,PAPANGGO,"Jl. Papanggo III, RT.6/RW.3, Papanggo, Tj. Priok, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14340",4898,ISLAM,3803,,,FAILED,
TPU TEGAL KUNIR,KOTA ADM. JAKARTA UTARA,KOJA,TUGU SELATAN,"RT.4/RW.4, Tugu Sel., Kec. Koja, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14260",4120,ISLAM,2779,,,FAILED,
TPU PLUMPANG,KOTA ADM. JAKARTA UTARA,KOJA,RAWABADAK SELATAN,"Jl. Alur Laut Gg. k1 32, RT.9/RW.4, Rawabadak Sel., Kec. Koja, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14230",3339,ISLAM,1075,,,FAILED,
TPU ROROTAN,KOTA ADM. JAKARTA UTARA,CILINCING,ROROTAN,"Jl. Rorotan IX, RT.3/RW.9, Rorotan, Kec. Cilincing, Kota Jkt Utara, Daerah Khusus Ibukota Jakarta 14140",178271,ISLAM/ KRISTEN/ HINDU/ BHUDA,8960,,,FAILED,
TPU TEGAL ALUR I (KRISTEN),KOTA ADM. JAKARTA BARAT,KALIDERES,TEGAL ALUR,"Jl. Benda Raya No.17, RT.8/RW.2, Tegal Alur, Kec. Kalideres, Kota Jakarta Barat, Daerah Khusus Ibukota Jakarta 11810",94810,KRISTEN,28672,,,FAILED,
