nama_rptra,wilayah,kecamatan,kelurahan,lat,lon,confidence,nominatim_display_name
Rawasari Ceria,KOTA ADM. JAKARTA PUSAT,Cempaka Putih,Rawasari,-6.1900838,106.8644290,"LOW - kelurahan centroid only, not the actual park","Rawasari, Cempaka Putih, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, Indonesia"
Borobudur,KOTA ADM. JAKARTA PUSAT,Menteng,Pegangsaan,-6.2003533,106.8476094,medium - name matched in result,"RPTRA Borobudur, Pegangsaan, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10320, Indonesia"
Amir Hamzah,KOTA ADM. JAKARTA PUSAT,Menteng,Pegangsaan,-6.2034765,106.8504944,medium - name matched in result,"RPTRA Amir Hamzah, Pegangsaan, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10320, Indonesia"
Gondangdia,KOTA ADM. JAKARTA PUSAT,Menteng,Gondangdia,-6.1946579,106.8384118,medium - name matched in result,"RPTRA Gondangdia, Gondangdia, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10350, Indonesia"
Kebon Sirih,KOTA ADM. JAKARTA PUSAT,Menteng,Kebon Sirih,-6.1831424,106.8322070,medium - name matched in result,"RPTRA Kebon Sirih, Kebon Sirih, Menteng, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10340, Indonesia"
Taman Guntur,KOTA ADM. JAKARTA PUSAT,Tanah Abang,Bendungan Hilir,-6.2095735,106.8101378,medium - name matched in result,"RPTRA Taman Guntur, Bendungan Hilir, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10210, Indonesia"
Taman Keuangan,KOTA ADM. JAKARTA PUSAT,Tanah Abang,Bendungan Hilir,-6.2087254,106.8086398,"LOW - kelurahan centroid only, not the actual park","Bendungan Hilir, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10210, Indonesia"
Taman Raning,KOTA ADM. JAKARTA PUSAT,Tanah Abang,Bendungan Hilir,-6.2087254,106.8086398,"LOW - kelurahan centroid only, not the actual park","Bendungan Hilir, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10210, Indonesia"
Melati 04,KOTA ADM. JAKARTA PUSAT,Tanah Abang,Bendungan Hilir,-6.2087254,106.8086398,"LOW - kelurahan centroid only, not the actual park","Bendungan Hilir, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10210, Indonesia"
Rusben 2,KOTA ADM. JAKARTA PUSAT,Tanah Abang,Bendungan Hilir,-6.2087254,106.8086398,"LOW - kelurahan centroid only, not the actual park","Bendungan Hilir, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10210, Indonesia"
Intiland Teduh Karet Tengsin,KOTA ADM. JAKARTA PUSAT,Tanah Abang,Karet Tengsin,-6.2047879,106.8115476,"LOW - name not found in matched address, verify manually","RPTRA Intiland Teduh, Karet Tengsin, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10220, Indonesia"
Segas Segar Berseri,KOTA ADM. JAKARTA PUSAT,Tanah Abang,Karet Tengsin,-6.2074731,106.8164889,"LOW - kelurahan centroid only, not the actual park","Karet Tengsin, Tanah Abang, Jakarta Pusat, Daerah Khusus Ibukota Jakarta, Jawa, 10220, Indonesia"
