periode_data,wilayah,kecamatan,kelurahan,nama_rptra
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,MENTENG ASRI
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,GRIYA TIPAR
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,CEMPAKA SARI
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,ALBO LESTARI
2023,KOTA ADM. JAKARTA TIMUR,CAKUNG,CAKUNG BARAT,POOL ASRI
2023,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,RATU KARENSA INDAH
2023,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,DUREN SAWIT,DURSA BERSATU
2023,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,PONDOK BAMBU,PONDOK BAMBU BERSERI
2023,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,IKAPOLA
2023,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,DKI BERSERI
2023,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,PONDOK KELAPA,PONDOK KELAPA BERSERI
2023,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,MALAKA SARI,MALAKA SARI
2023,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,MALAKA JAYA,BUNGA RAMPAI
2023,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,RAWAJAYA
2023,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,ARABIKA
2023,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,PONDOK KOPI,PESONA
2023,KOTA ADM. JAKARTA TIMUR,DUREN SAWIT,KLENDER,VLABOEAN
2023,KOTA ADM. JAKARTA TIMUR,MAKASAR,PINANG RANTI,KAMPUNG PULO ASRI
2023,KOTA ADM. JAKARTA TIMUR,MAKASAR,KEBON PALA,KEBON PALA BERSERI
2023,KOTA ADM. JAKARTA TIMUR,MAKASAR,CIPINANG MELAYU,PILAR JATI
2023,KOTA ADM. JAKARTA TIMUR,CIRACAS,CIRACAS,CIRACAS PRIMA
2023,KOTA ADM. JAKARTA TIMUR,CIRACAS,CIBUBUR,CIBUBUR BERSERI
2023,KOTA ADM. JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,JAYA MAKMUR
2023,KOTA ADM. JAKARTA TIMUR,CIRACAS,KELAPA DUA WETAN,DAHLIA KDW
2023,KOTA ADM. JAKARTA TIMUR,CIRACAS,SUSUKAN,SUSUKAN CERIA
2023,KOTA ADM. JAKARTA TIMUR,CIRACAS,RAMBUTAN,TANAH MERDEKA
2023,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,CIPAYUNG,PAYUNG TUNAS TERATAI
2023,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,CILANGKAP,TAMPLAS BAMBU
2023,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,CILANGKAP,GARUDA
2023,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,RANGGON KUSUMA BARU
2023,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,PONDOK RANGGON,TUNAS BANGSA BISA
2023,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,GEBANG SARI
2023,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,BAMBU APUS,BAMBU PETUNG
2023,KOTA ADM. JAKARTA TIMUR,CIPAYUNG,LUBANG BUAYA,MUTIARA RAWA BINONG
2023,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,TANJUNG ELANG BERSERI
2023,KAB. ADM. KEP. SERIBU,KEPULAUAN SERIBU UTARA,PULAU PANGGANG,TANJONG TIMOR
